municipio_norm,municipio,comarca_mapa
MATINHAS,Matinhas,Alagoa Nova
MATO GROSSO,Mato Grosso,Catolé do Rocha
MATUREIA,Maturéia,Teixeira
MOGEIRO,Mogeiro,Itabaiana
MONTADAS,Montadas,Esperança
MONTE HOREBE,Monte Horebe,São José de Piranhas
MONTEIRO,Monteiro,Monteiro
MULUNGU,Mulungu,Alagoinha
NATUBA,Natuba,Umbuzeiro
NAZAREZINHO,Nazarezinho,Sousa
NOVA FLORESTA,Nova Floresta,Cuité
NOVA OLINDA,Nova Olinda,Piancó
NOVA PALMEIRA,Nova Palmeira,Picuí
OLHO D'AGUA,Olho d'Água,Piancó
OLIVEDOS,Olivedos,Soledade
OURO VELHO,Ouro Velho,Sumé
PARARI,Parari,Serra Branca
PASSAGEM,Passagem,Patos
PATOS,Patos,Patos
PAULISTA,Paulista,São Bento
PEDRA BRANCA,Pedra Branca,Itaporanga
PEDRA LAVRADA,Pedra Lavrada,Picuí
PEDRAS DE FOGO,Pedras de Fogo,Pedras de Fogo
PEDRO REGIS,Pedro Régis,Jacaraú
PIANCO,Piancó,Piancó
PICUI,Picuí,Picuí
PILAR,Pilar,Itabaiana
PILOES,Pilões,Guarabira
PILOEZINHOS,Pilõezinhos,Guarabira
PIRPIRITUBA,Pirpirituba,Guarabira
PITIMBU,Pitimbu,Alhandra
POCINHOS,Pocinhos,Pocinhos
POCO DANTAS,Poço Dantas,Sousa
POCO DE JOSE DE MOURA,Poço de José de Moura,São João do Rio do Peixe
POMBAL,Pombal,Pombal
PRATA,Prata,Sumé
PRINCESA ISABEL,Princesa Isabel,Princesa Isabel
PUXINANA,Puxinanã,Pocinhos
QUEIMADAS,Queimadas,Queimadas
QUIXABA,Quixaba,Patos
REMIGIO,Remígio,Remígio
RIACHAO,Riachão,Araruna
RIACHAO DO BACAMARTE,Riachão do Bacamarte,Ingá
RIACHAO DO POCO,Riachão do Poço,Sapé
RIACHO DE SANTO ANTONIO,Riacho de Santo Antônio,Boqueirão
RIACHO DOS CAVALOS,Riacho dos Cavalos,Catolé do Rocha
RIO TINTO,Rio Tinto,Rio Tinto
SALGADINHO,Salgadinho,Taperoá
SALGADO DE SAO FELIX,Salgado de São Félix,Itabaiana
